,PostTitle,Version,PostDate,GameTitle,GameHeader,GameInfo,FamilyA,FamilyB,FamilyAInfo,FamilyBInfo,FamilyA_,FamilyB_
82,“Celebrity Family Feud” 8/21/22,Celebrity,,"G2:  Team Leggero (Save the Children's Ukraine Crisis Relief Fund)(Natasha,  Moshe, Chelsea Peretti, Sabrina Jalees & Caleb Hearon) v. No Pass  Ash (Best Friends Animal Society)(Lauren, cousin/podcast host Christy  Oxborrow, Leslie Seiler, mom Laurel DeHaan & stepdad Nick DeHaan)",G2,,Team Leggero,No Pass  Ash,,,Team Leggero,No Pass  Ash
83,“Celebrity Family Feud” 9/11/22,Celebrity,,"G1:  Mysterios/Gutierrezes (Make a Wish)(Rey, Dominik, wife Angie, daughter  Aalyah & Daniel Mallory) v. Mizanins (Connor Cure Fund)(Mike, dad  George, mom Barbara Pappas, mom-in-law Marjo Martin & cousin Don)",G1,,Mysterios/Gutierrezes,Mizanins,,,Mysterios/Gutierrez,Mizanin
84,“Celebrity Family Feud” 9/11/22,Celebrity,,"G2:  Hershisers (Cystic Fibrosis Foundation)(Orel, wife Dana, son Jordan,  daughter Sloane Suddeth & son Spencer Suddeth) v. Warners (Treasure  House)(Kurt, wife Brenda, son Kade, younger daughter Jesse Stanton &  older daughter Jada)",G2,,Hershisers,Warners,,,Hershiser,Warner
85,“Celebrity Family Feud” 8/28/22,Celebrity,,"G1:  Chens (Figure Skating in Harlem)(Nathan, brother Tony, sister Janice,  brother Colin & sister Alice) v. Team Simu Liu (Stop AAPI  Hate)(Simu, Jubilee Media founder/CEO Jason Y. Lee, Watcher  Entertainment founder/CEO Steven Lim, Chris Cowan & comedian Chris  Kim)",G1,,Chens,Team Simu Liu,,,Chen,Team Simu Liu
86,“Celebrity Family Feud” 8/28/22,Celebrity,,"G2:  So So Def (St. Jude)(Jermaine Dupri, Shaniah Mauldin, Johnta Austin,  Shawntae “Da Brat” Harris & Bryan-Michael Cox) v. Team Monica  (Shaquille O'Neal Foundation)(Monica, Snoop Dogg's wife Shante Broadus,  Toya Johnson, Toya's daughter Reginae Carter & Muni Long)",G2,,So So Def,Team Monica,,,So So Def,Team Monica
87,“Celebrity Family Feud” 8/14/22,Celebrity,,"G1:  Team Najimy (Fund for Women's Equality)(Kathy, hubby Dan Finnerty, TV  host/producer Jess Cagle, sister Mona & TV host/producer John Hill)  v. Team Chenoweth (Kristin Chenoweth Arts & Education Fund)(Kristin,  fiance Josh Bryant, cousin Tiffany Palmer, Kim Vento & Jack  Wallace)",G1,,Team Najimy,Team Chenoweth,,,Team Najimy,Team Chenoweth
88,“Celebrity Family Feud” 8/14/22,Celebrity,,"G2:  “Summer House” (Shatterproof)(Carl Radke, Lindsay Hubbard, Mya Allen,  Alex Wach & Andrea Denver) v. “My Unorthodox Life” (VOW for  Girls)(author Julia Haart, Julia's business partner Robert Brotherton,  Julia's daughter Miriam Haart, Julia's son Shlomo Haart & Julia's  daughter Batsheva Haart)",G2,,“Summer House”,“My Unorthodox Life”,,,“Summer House”,“My Unorthodox Life”
89,“Celebrity Family Feud” 8/7/22,Celebrity,,"G1:  Darbys (Algalita Marine Research & Education)(Rhys, filmmaker David  Farrier, Samba Schutte, Fleur Saville & son Finn) v. Pharoahs  (Children's Hospital of The King's Daughters)(Jay, sister Shaina Farrow,  dad Antonio “Tony” Farrow, mom Ramona Farrow & cousin Jovel Ford)",G1,,Darbys,Pharoahs,,,Darby,Pharoah
90,“Celebrity Family Feud” 8/7/22,Celebrity,,"G2:  “BACHELOR SQUAD” (Big Brothers Big Sisters of America)(Rebecca “Becca”  Kufrin, Thomas Jacobs, Kenny Braasch, Mari Pepin-Solis & Mike  Johnson) v. “BACHELOR NATION” (First Book)(Michelle Young, Babtunde  “Nayte” Olukoya, Joe Amabile, Serena Pitt & Rodney Matthews)",G2,,“BACHELOR SQUAD”,“BACHELOR NATION”,,,“BACHELOR SQUAD”,“BACHELOR NATION”
91,“Family Feud”- JO KOY SPECIAL,Standard,,"M-U:  Gastons (Friends of Tapawanda)(Lydia, husband Karl, niece Nina, nephew  Nicholas & niece Susanna) v. Koys (American Nurse Foundation)(Jo,  brother-in-law Dre, sister Gemma, niece Ajailon & son Joseph)",M-U,,Gastons,Koys,,,Gaston,Koy
